source_file,product_code,product_name,version,tree_count,index_file
/Users/mac/Desktop/未命名文件夹 2/1/GGN_制冷产品故障树_V1.1.pptx,REF,制冷产品,V1.1,21,BSH_REF_V1.1_index.md
/Users/mac/Desktop/未命名文件夹 2/1/GGN_家用小电器(咖啡机)故障树_V1.1.pptx,CM,咖啡机,V1.1,9,BSH_CM_V1.1_index.md
/Users/mac/Desktop/未命名文件夹 2/1/GGN_微波烤箱(炉)故障树_V1.0.pptx,MW,微波炉,V1.0,10,BSH_MW_V1.0_index.md
/Users/mac/Desktop/未命名文件夹 2/1/GGN_暖碟(烹饪)抽屉故障树_V1.0.pptx,WDW,暖碟抽屉,V1.0,5,BSH_WDW_V1.0_index.md
/Users/mac/Desktop/未命名文件夹 2/1/GGN_洗碗机产品故障树_V1.0.pptx,DW,洗碗机,V1.0,18,BSH_DW_V1.0_index.md
/Users/mac/Desktop/未命名文件夹 2/1/GGN_烟机产品故障树_V1.0.pptx,RH,吸油烟机,V1.0,10,BSH_RH_V1.0_index.md
/Users/mac/Desktop/未命名文件夹 2/1/GGN_烤箱产品故障树_V1.0.pptx,OVEN,烤箱,V1.0,4,BSH_OVEN_V1.0_index.md
/Users/mac/Desktop/未命名文件夹 2/1/GGN_燃气灶故障树_V1.0.pptx,HOB,燃气灶,V1.0,14,BSH_HOB_V1.0_index.md
/Users/mac/Desktop/未命名文件夹 2/1/GGN_蒸箱故障树_V1.1.pptx,STM,蒸箱,V1.1,9,BSH_STM_V1.1_index.md
/Users/mac/Desktop/未命名文件夹 2/新建文件夹/07-吸油烟机故障树_V1.0.pptx,RH2,吸油烟机,V1.0,9,BSH_RH2_V1.0_index.md
/Users/mac/Desktop/未命名文件夹 2/新建文件夹/09-蒸箱故障树_V1.0.pptx,STM2,蒸箱,V1.0,7,BSH_STM2_V1.0_index.md
/Users/mac/Desktop/未命名文件夹 2/新建文件夹/1.普通冰箱故障树_V1.0.pptx,FR,普通冰箱,V1.0,18,BSH_FR_V1.0_index.md
/Users/mac/Desktop/未命名文件夹 2/新建文件夹/10-烤箱故障树_V1.0.pptx,OVEN2,烤箱,V1.0,4,BSH_OVEN2_V1.0_index.md
/Users/mac/Desktop/未命名文件夹 2/新建文件夹/11-洗碗机故障树_V1.0.pptx,DW2,洗碗机,V1.0,20,BSH_DW2_V1.0_index.md
