source,slides,filtered,kept_slides,trees,index,filtered_detail
/Users/mac/Desktop/未命名文件夹 2/1/GGN_制冷产品故障树_V1.1.pptx,23,2,21,21,BSH_REF_V1.1_index.md,Slide 1 封面/标题页; Slide 23 版本记录页
/Users/mac/Desktop/未命名文件夹 2/1/GGN_家用小电器(咖啡机)故障树_V1.1.pptx,12,2,10,9,BSH_CM_V1.1_index.md,Slide 1 封面/标题页; Slide 12 版本记录页
/Users/mac/Desktop/未命名文件夹 2/1/GGN_微波烤箱(炉)故障树_V1.0.pptx,14,3,11,10,BSH_MW_V1.0_index.md,Slide 1 封面/标题页; Slide 5 无诊断逻辑页; Slide 14 版本记录页
/Users/mac/Desktop/未命名文件夹 2/1/GGN_暖碟(烹饪)抽屉故障树_V1.0.pptx,8,2,6,5,BSH_WDW_V1.0_index.md,Slide 1 封面/标题页; Slide 8 版本记录页
/Users/mac/Desktop/未命名文件夹 2/1/GGN_洗碗机产品故障树_V1.0.pptx,26,3,23,18,BSH_DW_V1.0_index.md,Slide 1 封面/标题页; Slide 2 无诊断逻辑页; Slide 26 版本记录页
/Users/mac/Desktop/未命名文件夹 2/1/GGN_烟机产品故障树_V1.0.pptx,16,2,14,10,BSH_RH_V1.0_index.md,Slide 1 封面/标题页; Slide 16 版本记录页
/Users/mac/Desktop/未命名文件夹 2/1/GGN_烤箱产品故障树_V1.0.pptx,12,2,10,4,BSH_OVEN_V1.0_index.md,Slide 1 封面/标题页; Slide 12 版本记录页
/Users/mac/Desktop/未命名文件夹 2/1/GGN_燃气灶故障树_V1.0.pptx,22,3,19,14,BSH_HOB_V1.0_index.md,Slide 1 封面/标题页; Slide 14 无诊断逻辑页; Slide 22 版本记录页
/Users/mac/Desktop/未命名文件夹 2/1/GGN_蒸箱故障树_V1.1.pptx,15,2,13,9,BSH_STM_V1.1_index.md,Slide 1 封面/标题页; Slide 15 版本记录页
/Users/mac/Desktop/未命名文件夹 2/新建文件夹/07-吸油烟机故障树_V1.0.pptx,17,2,15,9,BSH_RH2_V1.0_index.md,Slide 1 封面/标题页; Slide 17 版本记录页
